id_localisation,tag,note
1075310,arrivo_venezia,
1075639,arrivo_venezia,
1075885,arrivo_venezia,
1076248,arrivo_venezia,
1076462,arrivo_venezia,
1076512,arrivo_venezia,
1076573,arrivo_venezia,
1076605,arrivo_venezia,
1076620,arrivo_venezia,
1076806,arrivo_venezia,
1076729,arrivo_venezia,
1076769,abitazione_venezia,verifica datazione (ast-->b)
1080426,arrivo_venezia,
1076982,arrivo_venezia,
1077119,arrivo_venezia,verifica datazione (ast-->b)
1077286,arrivo_venezia,
1077550,arrivo_venezia,
1077637,arrivo_venezia,
1077710,arrivo_venezia,
1077762,arrivo_venezia,
1077822,arrivo_venezia,
1077903,arrivo_venezia,
1077917,arrivo_venezia,
1078151,arrivo_venezia,
1078198,arrivo_venezia,
1078294,arrivo_venezia,
1078455,arrivo_venezia,
1078540,arrivo_venezia,
1078576,arrivo_venezia,
1078797,arrivo_venezia,
1078890,arrivo_venezia,
1078968,arrivo_venezia,
1079041,arrivo_venezia,
1079712,arrivo_venezia,
1079828,arrivo_venezia,
1080945,arrivo_venezia,
1080972,arrivo_venezia,
1081059,arrivo_venezia,
1081115,arrivo_venezia,
1081346,arrivo_venezia,
1081475,arrivo_venezia,
1081585,arrivo_venezia,
1081620,arrivo_venezia,
1081855,arrivo_venezia,
925311,arrivo_venezia,
1082065,arrivo_venezia,
1082149,arrivo_venezia,
1082198,arrivo_venezia,
1082324,arrivo_venezia,
1082561,arrivo_venezia,
1083211,arrivo_venezia,
1126422,arrivo_venezia,
1083271,arrivo_venezia,
1083368,arrivo_venezia,
1083516,arrivo_venezia,
1083951,arrivo_venezia,
1084175,arrivo_venezia,
1084198,arrivo_venezia,
1084343,arrivo_venezia,
1084412,arrivo_venezia,
1084468,arrivo_venezia,
1084714,arrivo_venezia,
1084769,arrivo_venezia,
1085947,arrivo_venezia,
1085745,arrivo_venezia,
1085770,arrivo_venezia,
1085838,arrivo_venezia,
1086151,arrivo_venezia,
1086311,arrivo_venezia,
1086384,arrivo_venezia,
1086481,arrivo_venezia,verifica datazione (ast-->b)
1086552,arrivo_venezia,
1086645,arrivo_venezia,
1086751,arrivo_venezia,
1086800,arrivo_venezia,
1086836,abitazione_venezia,verifica datazione (ast-->b)
1086873,arrivo_venezia,
1086901,arrivo_venezia,
1087087,arrivo_venezia,
1087148,arrivo_venezia,verifica datazione (ast-->b)
1087127,arrivo_venezia,
1087375,arrivo_venezia,
1087438,arrivo_venezia,
1087443,arrivo_venezia,
1087724,arrivo_venezia,
1087753,arrivo_venezia,
1087782,arrivo_venezia,
1087943,arrivo_venezia,
1087986,arrivo_venezia,
1088169,arrivo_venezia,
1089412,arrivo_venezia,
1089429,arrivo_venezia,
1089724,arrivo_venezia,
1089751,arrivo_venezia,
1089785,arrivo_venezia,
1090296,arrivo_venezia,
1090405,arrivo_venezia,
1090449,arrivo_venezia,
1298885,arrivo_venezia,
1090584,arrivo_venezia,
1090725,arrivo_venezia,
1090797,arrivo_venezia,
1090814,arrivo_venezia,
1090850,arrivo_venezia,
1090902,arrivo_venezia,
1090939,arrivo_venezia,verifica datazione (ast-->b)
1091142,arrivo_venezia,
1091232,arrivo_venezia,
1091305,arrivo_venezia,
1091473,arrivo_venezia,
1091716,arrivo_venezia,
1091940,arrivo_venezia,
1091974,arrivo_venezia,
1092009,arrivo_venezia,
1092033,arrivo_venezia,
1092053,arrivo_venezia,
1092124,arrivo_venezia,
1092374,arrivo_venezia,
1092409,arrivo_venezia,
1092637,arrivo_venezia,
1092680,arrivo_venezia,
1094107,arrivo_venezia,
1094156,arrivo_venezia,
1094280,arrivo_venezia,
1094388,arrivo_venezia,
1094685,arrivo_venezia,
1094601,arrivo_venezia,
1094778,arrivo_venezia,
1094879,arrivo_venezia,
1094920,arrivo_venezia,
1094969,arrivo_venezia,
1095219,arrivo_venezia,
1095236,arrivo_venezia,
1095362,arrivo_venezia,
1095410,arrivo_venezia,
1095664,arrivo_venezia,
1096174,arrivo_venezia,
1096232,arrivo_venezia,
1096440,arrivo_venezia,
1096630,arrivo_venezia,
1096726,arrivo_venezia,
1096925,arrivo_venezia,
1097220,arrivo_venezia,
1097328,arrivo_venezia,
1097413,arrivo_venezia,
1097452,arrivo_venezia,
1137444,arrivo_venezia,
1097543,arrivo_venezia,
1097575,arrivo_venezia,
1097697,arrivo_venezia,
1097778,arrivo_venezia,
1097856,arrivo_venezia,
1098109,arrivo_venezia,
1098198,arrivo_venezia,
1098219,arrivo_venezia,
1098395,arrivo_venezia,
1098567,arrivo_venezia,
1098722,arrivo_venezia,
1098927,arrivo_venezia,
1098961,arrivo_venezia,
1287044,arrivo_venezia,
1099128,arrivo_venezia,
1099133,abitazione_venezia,Errore - unificare
1099345,arrivo_venezia,verifica datazione (ast-->b)
1099605,arrivo_venezia,
1099634,arrivo_venezia,verifica datazione (ast-->b)
1099683,arrivo_venezia,
1099788,arrivo_venezia,
1100038,arrivo_venezia,
1100057,arrivo_venezia,
1100143,arrivo_venezia,
1100183,arrivo_venezia,
1100283,arrivo_venezia,
1100319,arrivo_venezia,
1100407,arrivo_venezia,
1100511,arrivo_venezia,
1100601,arrivo_venezia,
1100632,arrivo_venezia,
1100746,arrivo_venezia,
1100778,arrivo_venezia,
1101161,arrivo_venezia,
1101252,arrivo_venezia,
1101280,arrivo_venezia,
1101316,arrivo_venezia,
1101559,arrivo_venezia,
1101866,arrivo_venezia,
1101670,arrivo_venezia,
1101791,arrivo_venezia,
1101957,arrivo_venezia,
1102074,arrivo_venezia,
1102321,arrivo_venezia,
1102408,arrivo_venezia,
1102532,arrivo_venezia,
1102774,arrivo_venezia,
1102779,arrivo_venezia,
1102850,arrivo_venezia,
1102880,arrivo_venezia,
1102961,arrivo_venezia,
1103090,arrivo_venezia,
1103133,arrivo_venezia,
1103166,arrivo_venezia,
1103498,arrivo_venezia,
1103597,arrivo_venezia,
1103626,arrivo_venezia,
1103742,arrivo_venezia,
1103847,arrivo_venezia,
1103894,arrivo_venezia,
1103987,arrivo_venezia,
1104023,arrivo_venezia,
1104050,arrivo_venezia,
1104277,arrivo_venezia,
1104358,arrivo_venezia,
1104412,arrivo_venezia,
1104472,arrivo_venezia,
1104758,arrivo_venezia,
1104810,arrivo_venezia,
1105032,arrivo_venezia,
1105154,arrivo_venezia,
1105288,arrivo_venezia,
1105336,arrivo_venezia,
1105363,arrivo_venezia,
1105569,arrivo_venezia,
1105713,arrivo_venezia,
1105892,arrivo_venezia,
1105911,arrivo_venezia,
1105924,arrivo_venezia,
1106243,arrivo_venezia,
1106266,arrivo_venezia,
1106413,arrivo_venezia,
1273031,arrivo_venezia,
1107349,arrivo_venezia,
1107373,arrivo_venezia,
1107445,arrivo_venezia,
1107617,arrivo_venezia,
1107666,arrivo_venezia,
1107694,arrivo_venezia,
1107790,arrivo_venezia,
1107907,arrivo_venezia,
1108028,arrivo_venezia,
1108104,arrivo_venezia,
1108141,arrivo_venezia,
1108178,arrivo_venezia,
1108365,arrivo_venezia,
1108403,arrivo_venezia,
1108423,arrivo_venezia,
1108452,arrivo_venezia,
1108928,arrivo_venezia,
1109030,arrivo_venezia,
1109546,arrivo_venezia,
1109575,arrivo_venezia,
1109585,arrivo_venezia,
1109603,arrivo_venezia,
1109737,arrivo_venezia,
1109801,arrivo_venezia,
1109921,arrivo_venezia,
1109983,arrivo_venezia,
1110107,arrivo_venezia,
1110133,arrivo_venezia,
1110151,arrivo_venezia,
1110279,arrivo_venezia,
1110293,arrivo_venezia,
1110394,arrivo_venezia,
1110607,arrivo_venezia,
1110684,arrivo_venezia,
1110722,arrivo_venezia,
1110783,arrivo_venezia,
1110811,arrivo_venezia,
1110850,arrivo_venezia,
1110999,arrivo_venezia,
1111185,arrivo_venezia,
1111293,arrivo_venezia,
1111339,arrivo_venezia,
1111378,arrivo_venezia,
1111383,arrivo_venezia,
1111686,arrivo_venezia,
1111692,arrivo_venezia,
1111730,arrivo_venezia,
1111750,arrivo_venezia,
1112028,arrivo_venezia,
1112144,soggiorno_venezia,
1112064,arrivo_venezia,
1112082,arrivo_venezia,
1112366,arrivo_venezia,
1112390,arrivo_venezia,
1112613,arrivo_venezia,
1112679,arrivo_venezia,
1112880,arrivo_venezia,
1112949,arrivo_venezia,
1113112,arrivo_venezia,
1113189,arrivo_venezia,
1113305,arrivo_venezia,
1113340,arrivo_venezia,
1113368,arrivo_venezia,
1113466,arrivo_venezia,
1113492,arrivo_venezia,
1113665,arrivo_venezia,
1113697,arrivo_venezia,
1113853,arrivo_venezia,
1113873,arrivo_venezia,
1114065,arrivo_venezia,
1114091,arrivo_venezia,
1114109,arrivo_venezia,
1114241,arrivo_venezia,
1114371,arrivo_venezia,
1114443,arrivo_venezia,
1114607,arrivo_venezia,
1114629,arrivo_venezia,
1114644,arrivo_venezia,
1114662,arrivo_venezia,
1114805,arrivo_venezia,
1115006,arrivo_venezia,
1115033,arrivo_venezia,
1115064,arrivo_venezia,
1115159,arrivo_venezia,
1115277,arrivo_venezia,
1115364,arrivo_venezia,
1115478,arrivo_venezia,
1115505,arrivo_venezia,
1115523,arrivo_venezia,
1115638,arrivo_venezia,
1115661,arrivo_venezia,
1115776,arrivo_venezia,
1117354,arrivo_venezia,
1117372,arrivo_venezia,
1117468,arrivo_venezia,
1117529,arrivo_venezia,
1117660,arrivo_venezia,
1117766,arrivo_venezia,
1117796,arrivo_venezia,
1119041,soggiorno_venezia,
1119079,arrivo_venezia,
1119117,arrivo_venezia,
1119187,arrivo_venezia,
1119478,arrivo_venezia,
1119662,arrivo_venezia,
1119685,arrivo_venezia,
1119700,arrivo_venezia,
1119767,arrivo_venezia,
1119811,arrivo_venezia,
1119987,arrivo_venezia,
1120017,arrivo_venezia,
1120035,arrivo_venezia,
1120342,arrivo_venezia,
1120628,arrivo_venezia,
