id_localisation|pk_person|person|geographical_place|GP_type|lat|lon|localisation_type|begin|at_some_time|end|occours_before|occours_after|tag|original_begin|original_at_some_time|original_end|sequence
1641561|1641476|Gaspare di Battista Vittori (dal Cadore, forner)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Luogo di lavoro e possibile abitazione|1591.0||1600.0||||1591.0||1600.0|1
1641902|1640083|Giovanni di Gaspare (dal Cadore, bariler)|S. Giovanni  Novo (743300)|Parrocchia|45.438769|12.333914|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1641929|1640048|Nicolò di Giorgio Corte (dal Cadore, spader)|S. Zulian (743314)|Parrocchia|45.43581|12.33864|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1641979|1641511|Angela di Bartolomeo Pandolfi (da Asolo)|S. Trovaso  (743258)|Parrocchia|45.43079|12.32601|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1642003|1641529|Alfonso di Alessandro Sarachi (da Padova, calegher)|S. Samuel (743181)|Parrocchia|45.433611|12.328056|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1642016|1641548|Giovanni di Paolo (da Verona, inguchiador)|S. Margherita (743053)|Parrocchia|45.435086|12.324154|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1642051|1641613|Bartolomeo di Michele De Rubeis (da Belluno)|S. Marina (743097)|Parrocchia|45.438499|12.339443|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1642076|1641647|Paolo di Cristoforo Freschi (pitor)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1642088|1641660|Andrea di Giuseppe Ercoli (da Venezia, nodaro)|S. Cancian  (742923)|Parrocchia|45.44012|12.33863|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1642175|1641825|Francesco di Carlo Mazzuccati (da Padova, brocher)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1642219|1641844|Benedetto di Pietro (da Brescia, brocher)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1642232|1641857|Giovanni Paolo di Antonio Boselli (da Milano, brocher)|S. Paternian (743146)|Parrocchia|45.43542|12.33447|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1642273|1299129|Battista di Giacomo (dal Cadore, forner)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione e luogo di lavoro   |1601.0|1601.0|1601.0|||||1601.0||2
1644641|1213891|Martino di Bartolomeo Costa (da Castelrotto, forner)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione e luogo di lavoro   |1591.0||1594.0||||1591.0|||0
1644728|1644719|Andrea di Giacomo Pernice (da Scanevo)|Angelo Raffael (743174)|Parrocchia|45.432506|12.318992|Abitazione|1599.0||1601.0||||1599.0|||1
1644809|1644789|Giacomo di Benedetto Grisone (da Scanevo)|S. Maria Formosa (743074)|Parrocchia|45.4369|12.3411|Abitazione|1601.0|1601.0|1601.0|||||1601.0||1
1644852|1644832|Giovanni di Giovanni Ananzio (da Scavone)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1601.0|1601.0|1601.0|||||1601.0||1
1645563|1644914|Domenico di Giovanni Gallasso (da Rodeano, spechier)|S. Zulian (743314)|Parrocchia|45.43581|12.33864|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1645606|1645025|Michele di Domenico Del Pupo (da Rodeano, paternoster)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1645624|1645061|Valentino di Francesco Zoccoli (da Rodeano, curamer)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1645663|1645129|Antonio di Nicola Valentini (da Ampezzo di Cadore, samiter)|S. Nicolò (743132)|Parrocchia|45.432772|12.315848|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1645689|1645181|Giulio di Valerio Bassi (dalla Diocesi di Padova, samiter)|S. Nicolò (743132)|Parrocchia|45.432772|12.315848|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1645702|1645199|Bartolomeo di Giacomo Tommasi (da Brescia, samiter)|S. Nicolò (743132)|Parrocchia|45.432772|12.315848|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1645737|1645302|Alberto di Giovanni Battista Alberti (da Padova)|S. Geremia (742972)|Parrocchia|45.442756|12.325453|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1645762|1645320|Giovanni di Gerolamo Cattanei (diocesi di Aquileia)|S. Tomà (743251)|Parrocchia|45.43593|12.32777|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1645772|1645338|Gerolamo di Donato Cusini (da Verona)|S. Maurizio  (743104)|Parrocchia|45.432984|12.331569|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1645959|1645922|Nicolò di Giovanni Fidia (da Zante, official de nave)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1646002|1645942|Nicolò di Manolo (da Zante, mariner)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1646039|1645902|Pietro Malagrenagia (da Zante, capo de galea)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1646364|1646330|Michele di Nicolò Magnari (mariner)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1600.0|1600.0|1600.0|||||1600.0||0
1646601|1646283|Calice (da La Canea) vedova di Iana (da La Canea, comito)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1600.0|1600.0|1600.0|||||1600.0||0
1646719|1646145|Nicola di Bartolomeo Paladini (da Bergamo, casariol)|S. Giacomo dall'Orio  (742965)|Parrocchia|45.440133|12.327403|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1646758|1646187|Giovanni Antonio di Giacomo (da Bergamo, casariol)|S. Cancian  (742923)|Parrocchia|45.44012|12.33863|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1646771|1646200|Giovanni di Marco Antonio Mazzoni|S. Margherita (743053)|Parrocchia|45.435086|12.324154|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1646805|1646249|Bartolomeo di Bernardo Tatioli (samiter)|S. Geremia (742972)|Parrocchia|45.442756|12.325453|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1646831|1646268|Girolamo di Battista Sementi (samiter)|S. Geremia (742972)|Parrocchia|45.442756|12.325453|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1646840|1646301|Antonio di Alvise De Silvestre (da Motta di Livenza, veluder)|S. Geremia (742972)|Parrocchia|45.442756|12.325453|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1646898|1646432|Andrea di Luca Colombini (da Cattaro, mariner)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1646944|1646467|Gabriele di Antonio Turren (da Marsiglia, mariner)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1646965|1646486|Pietro di Gabriele Cocalibi (da Marsiglia, mariner)|S. Giovanni in Bragora (743286)|Parrocchia|45.434465|12.346949|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
